Location,Year,Crime,Total cases
Barcelona,2019,consummated murders,45
Barcelona,2019,attempted murders,142
Barcelona,2019,crimes of injuries ,2389
Barcelona,2019,Kidnapping,2
Barcelona,2019,sexual indemnity,2219
Barcelona,2019,Sexual assault ,412
Barcelona,2019,Other sexual indemnity,1807
Barcelona,2019,Robbery ,23836
Barcelona,2019,Burglaries ,23986
Barcelona,2019,Robberies with force in homes,16180
Barcelona,2019,Theft,165901
Barcelona,2019,Vehicle theft,8392
Barcelona,2019,Drug trafficking,1716
Barcelona,2019,Other criminal offenses,157525
Madrid,2019,consummated murders,32
Madrid,2019,attempted murders,78
Madrid,2019,crimes of injuries ,2402
Madrid,2019,Kidnapping,16
Madrid,2019,sexual indemnity,2221
Madrid,2019,Sexual assault ,243
Madrid,2019,Other sexual indemnity,1978
Madrid,2019,Robbery ,15586
Madrid,2019,Burglaries ,19317
Madrid,2019,Robberies with force in homes,11484
Madrid,2019,Theft,154217
Madrid,2019,Vehicle theft,8086
Madrid,2019,Drug trafficking,2427
Madrid,2019,Other criminal offenses,205312
Valencia,2019,consummated murders,23
Valencia,2019,attempted murders,66
Valencia,2019,crimes of injuries ,1131
Valencia,2019,Kidnapping,2
Valencia,2019,sexual indemnity,910
Valencia,2019,Sexual assault ,82
Valencia,2019,Other sexual indemnity,828
Valencia,2019,Robbery ,2958
Valencia,2019,Burglaries ,9674
Valencia,2019,Robberies with force in homes,6660
Valencia,2019,Theft,35820
Valencia,2019,Vehicle theft,1677
Valencia,2019,Drug trafficking,1031
Valencia,2019,Other criminal offenses,68853
Murcia,2019,consummated murders,13
Murcia,2019,attempted murders,25
Murcia,2019,crimes of injuries ,736
Murcia,2019,Kidnapping,3
Murcia,2019,sexual indemnity,531
Murcia,2019,Sexual assault ,49
Murcia,2019,Other sexual indemnity,482
Murcia,2019,Robbery ,1528
Murcia,2019,Burglaries ,6778
Murcia,2019,Robberies with force in homes,5014
Murcia,2019,Theft,15149
Murcia,2019,Vehicle theft,905
Murcia,2019,Drug trafficking,356
Murcia,2019,Other criminal offenses,31679
Seville,2019,consummated murders,9
Seville,2019,attempted murders,40
Seville,2019,crimes of injuries ,695
Seville,2019,Kidnapping,8
Seville,2019,sexual indemnity,550
Seville,2019,Sexual assault ,54
Seville,2019,Other sexual indemnity,496
Seville,2019,Robbery ,2463
Seville,2019,Burglaries ,6007
Seville,2019,Robberies with force in homes,3657
Seville,2019,Theft,26397
Seville,2019,Vehicle theft,1926
Seville,2019,Drug trafficking,519
Seville,2019,Other criminal offenses,48365
Zaragoza,2019,consummated murders,4
Zaragoza,2019,attempted murders,7
Zaragoza,2019,crimes of injuries ,450
Zaragoza,2019,Kidnapping,0
Zaragoza,2019,sexual indemnity,242
Zaragoza,2019,Sexual assault ,20
Zaragoza,2019,Other sexual indemnity,222
Zaragoza,2019,Robbery ,1005
Zaragoza,2019,Burglaries ,1980
Zaragoza,2019,Robberies with force in homes,1279
Zaragoza,2019,Theft,8961
Zaragoza,2019,Vehicle theft,220
Zaragoza,2019,Drug trafficking,262
Zaragoza,2019,Other criminal offenses,21357
Malaga,2019,consummated murders,25
Malaga,2019,attempted murders,24
Malaga,2019,crimes of injuries ,829
Malaga,2019,Kidnapping,11
Malaga,2019,sexual indemnity,565
Malaga,2019,Sexual assault ,42
Malaga,2019,Other sexual indemnity,523
Malaga,2019,Robbery ,1605
Malaga,2019,Burglaries ,5106
Malaga,2019,Robberies with force in homes,4050
Malaga,2019,Theft,24506
Malaga,2019,Vehicle theft,1776
Malaga,2019,Drug trafficking,1005
Malaga,2019,Other criminal offenses,44516
Spain,2019,consummated murders,6
Spain,2019,attempted murders,16
Spain,2019,crimes of injuries ,377
Spain,2019,Kidnapping,2
Spain,2019,sexual indemnity,289
Spain,2019,Sexual assault ,35
Spain,2019,Other sexual indemnity,254
Spain,2019,Robbery ,1249
Spain,2019,Burglaries ,2847
Spain,2019,Robberies with force in homes,1859
Spain,2019,Theft,13217
Spain,2019,Vehicle theft,665
Spain,2019,Drug trafficking,307
Spain,2019,Other criminal offenses,22723
Alicante,2019,consummated murders,14
Alicante,2019,attempted murders,35
Alicante,2019,crimes of injuries ,766
Alicante,2019,Kidnapping,2
Alicante,2019,sexual indemnity,677
Alicante,2019,Sexual assault ,85
Alicante,2019,Other sexual indemnity,592
Alicante,2019,Robbery ,1665
Alicante,2019,Burglaries ,9346
Alicante,2019,Robberies with force in homes,6893
Alicante,2019,Theft,26132
Alicante,2019,Vehicle theft,1364
Alicante,2019,Drug trafficking,774
Alicante,2019,Other criminal offenses,48178
Cordoba,2019,consummated murders,7
Cordoba,2019,attempted murders,11
Cordoba,2019,crimes of injuries ,203
Cordoba,2019,Kidnapping,2
Cordoba,2019,sexual indemnity,205
Cordoba,2019,Sexual assault ,21
Cordoba,2019,Other sexual indemnity,184
Cordoba,2019,Robbery ,490
Cordoba,2019,Burglaries ,1731
Cordoba,2019,Robberies with force in homes,897
Cordoba,2019,Theft,6283
Cordoba,2019,Vehicle theft,288
Cordoba,2019,Drug trafficking,291
Cordoba,2019,Other criminal offenses,16004
Granada,2019,consummated murders,12
Granada,2019,attempted murders,20
Granada,2019,crimes of injuries ,330
Granada,2019,Kidnapping,2
Granada,2019,sexual indemnity,240
Granada,2019,Sexual assault ,32
Granada,2019,Other sexual indemnity,208
Granada,2019,Robbery ,844
Granada,2019,Burglaries ,2389
Granada,2019,Robberies with force in homes,1604
Granada,2019,Theft,8034
Granada,2019,Vehicle theft,433
Granada,2019,Drug trafficking,644
Granada,2019,Other criminal offenses,20654
Rioja,2019,consummated murders,0
Rioja,2019,attempted murders,5
Rioja,2019,crimes of injuries ,144
Rioja,2019,Kidnapping,0
Rioja,2019,sexual indemnity,92
Rioja,2019,Sexual assault ,9
Rioja,2019,Other sexual indemnity,83
Rioja,2019,Robbery ,90
Rioja,2019,Burglaries ,604
Rioja,2019,Robberies with force in homes,437
Rioja,2019,Theft,2422
Rioja,2019,Vehicle theft,68
Rioja,2019,Drug trafficking,104
Rioja,2019,Other criminal offenses,5283
Salamanca,2019,consummated murders,0
Salamanca,2019,attempted murders,2
Salamanca,2019,crimes of injuries ,86
Salamanca,2019,Kidnapping,1
Salamanca,2019,sexual indemnity,65
Salamanca,2019,Sexual assault ,6
Salamanca,2019,Other sexual indemnity,59
Salamanca,2019,Robbery ,99
Salamanca,2019,Burglaries ,531
Salamanca,2019,Robberies with force in homes,361
Salamanca,2019,Theft,3269
Salamanca,2019,Vehicle theft,46
Salamanca,2019,Drug trafficking,62
Salamanca,2019,Other criminal offenses,5733
Segovia,2019,consummated murders,1
Segovia,2019,attempted murders,2
Segovia,2019,crimes of injuries ,37
Segovia,2019,Kidnapping,0
Segovia,2019,sexual indemnity,49
Segovia,2019,Sexual assault ,3
Segovia,2019,Other sexual indemnity,46
Segovia,2019,Robbery ,24
Segovia,2019,Burglaries ,381
Segovia,2019,Robberies with force in homes,195
Segovia,2019,Theft,877
Segovia,2019,Vehicle theft,20
Segovia,2019,Drug trafficking,43
Segovia,2019,Other criminal offenses,3022
Ceuta,2019,consummated murders,4
Ceuta,2019,attempted murders,16
Ceuta,2019,crimes of injuries ,44
Ceuta,2019,Kidnapping,2
Ceuta,2019,sexual indemnity,23
Ceuta,2019,Sexual assault ,1
Ceuta,2019,Other sexual indemnity,22
Ceuta,2019,Robbery ,145
Ceuta,2019,Burglaries ,88
Ceuta,2019,Robberies with force in homes,42
Ceuta,2019,Theft,823
Ceuta,2019,Vehicle theft,168
Ceuta,2019,Drug trafficking,297
Ceuta,2019,Other criminal offenses,3179
Melilla,2019,consummated murders,1
Melilla,2019,attempted murders,8
Melilla,2019,crimes of injuries ,146
Melilla,2019,Kidnapping,0
Melilla,2019,sexual indemnity,33
Melilla,2019,Sexual assault ,5
Melilla,2019,Other sexual indemnity,28
Melilla,2019,Robbery ,373
Melilla,2019,Burglaries ,131
Melilla,2019,Robberies with force in homes,71
Melilla,2019,Theft,1204
Melilla,2019,Vehicle theft,76
Melilla,2019,Drug trafficking,63
Melilla,2019,Other criminal offenses,3577
Barcelona,2020,consummated murders,36
Barcelona,2020,attempted murders,108
Barcelona,2020,crimes of injuries ,1598
Barcelona,2020,Kidnapping,3
Barcelona,2020,sexual indemnity,1703
Barcelona,2020,Sexual assault ,285
Barcelona,2020,Other sexual indemnity,1418
Barcelona,2020,Robbery ,15249
Barcelona,2020,Burglaries ,4061
Barcelona,2020,Robberies with force in homes,10979
Barcelona,2020,Theft,92393
Barcelona,2020,Vehicle theft,5075
Barcelona,2020,Drug trafficking,2090
Barcelona,2020,Other criminal offenses,135216
Madrid,2020,consummated murders,38
Madrid,2020,attempted murders,98
Madrid,2020,crimes of injuries ,2287
Madrid,2020,Kidnapping,10
Madrid,2020,sexual indemnity,1976
Madrid,2020,Sexual assault ,217
Madrid,2020,Other sexual indemnity,1759
Madrid,2020,Robbery ,10688
Madrid,2020,Burglaries ,3234
Madrid,2020,Robberies with force in homes,7052
Madrid,2020,Theft,92213
Madrid,2020,Vehicle theft,6235
Madrid,2020,Drug trafficking,2470
Madrid,2020,Other criminal offenses,181917
Valencia,2020,consummated murders,14
Valencia,2020,attempted murders,53
Valencia,2020,crimes of injuries ,892
Valencia,2020,Kidnapping,8
Valencia,2020,sexual indemnity,779
Valencia,2020,Sexual assault ,92
Valencia,2020,Other sexual indemnity,687
Valencia,2020,Robbery ,2355
Valencia,2020,Burglaries ,1162
Valencia,2020,Robberies with force in homes,5077
Valencia,2020,Theft,24012
Valencia,2020,Vehicle theft,1257
Valencia,2020,Drug trafficking,907
Valencia,2020,Other criminal offenses,64822
Murcia,2020,consummated murders,10
Murcia,2020,attempted murders,41
Murcia,2020,crimes of injuries ,645
Murcia,2020,Kidnapping,1
Murcia,2020,sexual indemnity,505
Murcia,2020,Sexual assault ,64
Murcia,2020,Other sexual indemnity,441
Murcia,2020,Robbery ,1207
Murcia,2020,Burglaries ,400
Murcia,2020,Robberies with force in homes,3796
Murcia,2020,Theft,9925
Murcia,2020,Vehicle theft,726
Murcia,2020,Drug trafficking,389
Murcia,2020,Other criminal offenses,32819
Seville,2020,consummated murders,12
Seville,2020,attempted murders,64
Seville,2020,crimes of injuries ,612
Seville,2020,Kidnapping,5
Seville,2020,sexual indemnity,508
Seville,2020,Sexual assault ,31
Seville,2020,Other sexual indemnity,477
Seville,2020,Robbery ,1802
Seville,2020,Burglaries ,1223
Seville,2020,Robberies with force in homes,2966
Seville,2020,Theft,16081
Seville,2020,Vehicle theft,1458
Seville,2020,Drug trafficking,547
Seville,2020,Other criminal offenses,46704
Zaragoza,2020,consummated murders,2
Zaragoza,2020,attempted murders,26
Zaragoza,2020,crimes of injuries ,303
Zaragoza,2020,Kidnapping,1
Zaragoza,2020,sexual indemnity,225
Zaragoza,2020,Sexual assault ,29
Zaragoza,2020,Other sexual indemnity,196
Zaragoza,2020,Robbery ,728
Zaragoza,2020,Burglaries ,425
Zaragoza,2020,Robberies with force in homes,913
Zaragoza,2020,Theft,5765
Zaragoza,2020,Vehicle theft,158
Zaragoza,2020,Drug trafficking,245
Zaragoza,2020,Other criminal offenses,19358
Malaga,2020,consummated murders,8
Malaga,2020,attempted murders,41
Malaga,2020,crimes of injuries ,691
Malaga,2020,Kidnapping,5
Malaga,2020,sexual indemnity,458
Malaga,2020,Sexual assault ,58
Malaga,2020,Other sexual indemnity,400
Malaga,2020,Robbery ,1119
Malaga,2020,Burglaries ,689
Malaga,2020,Robberies with force in homes,3007
Malaga,2020,Theft,15265
Malaga,2020,Vehicle theft,1293
Malaga,2020,Drug trafficking,1045
Malaga,2020,Other criminal offenses,42372
Spain,2020,consummated murders,6
Spain,2020,attempted murders,17
Spain,2020,crimes of injuries ,302
Spain,2020,Kidnapping,1
Spain,2020,sexual indemnity,249
Spain,2020,Sexual assault ,30
Spain,2020,Other sexual indemnity,218
Spain,2020,Robbery ,854
Spain,2020,Burglaries ,388
Spain,2020,Robberies with force in homes,1366
